name	built	tonnage	len	capacity
Maersk Mc-Kinney Moller	2013	194153	399	18340
CSCL Globe	2014	184320	399	19100
Barzan	2015	190000	400	19870
MSC Maya	2015	199272	395	19224
Emma Maersk	2006	156907	398	15550
Regina Maersk	1996	84900	318	6418
Repulse Bay	1992	59093	292	4230
Frankfurt Express	1981	51540	288	3430
CMA CGM Christophe Colomb	2009	157092	366	13344
Antwerpen Express	2013	142020	367	13092
Sonderborg Strait	2012	14422	158	1085
Henneke Rambow	2007	11274	134	868
Nedlloyd America	1992	47042	266	3604
Houston Express	2005	94483	332	8411
COSCO Asia	2007	109968	349	10062
Hyundai Force	2008	99043	340	8566
MSC Ajaccio	2014	112230	300	9403
Osaka Express	2007	103800	335	8749
Manchester Bridge	2015	147443	366	13870
BF Aurelia	1998	5271	100	523
